Comment faire le subjonctif pour les première et deuxième personnes du pluriel?|Pour les première et deuxième personnes du pluriel, les terminaisons sont identiques.\\~\\Ex : Il faudra que vous payiez la facture. Vous payiez la facture.
I'm sorry you weren't comfortable enough to talk to me about it.|Je suis navré(e)/désolé(e) que tu n'aies pas été assez à l'aise pour m'en parler.
I'm glad you like it.|Je suis content(e) que ça te plaise.
It has to stop!|Il faut que ça s'arrête.
I'm sad you can't make it.|Je suis triste que tu ne puisses pas venir.
I've gotta get started.|Il faut que je m'y mette.
I'm glad you came!|Je suis content que tu soit venu(e).
