Quand conjuguer à l'impératif?|La principale caractéristique de l'impératif est de permettre d'exprimer un ordre, donner un conseil ou faire une suggestion. Il n'existe qu'aux personnes: tu, nous et vous et ce, sans sujet exprimé. En général, l'impératif est identique au présent de l'indicatif à l'exception près qu'il n'a pas de sujet.
Be polite!|Soyez poli(e)!
Get comfy.|Mets-toi à l'aise.
Leave me alone.|Laisse-moi tranquil(le).
[Ne] vous faites jamais prendre.\\{}[Ne] tu fais jamais prendre.|Don't get caught.
Don't talk. Just drive.|Ne parle pas. Contente-toi de conduire.
